rname,A-site,count
19,5380,1
3,18425,1
20,38,9195
1,6725,1
5,19552,1
18,12955,1
8,3659,13
11,3477,7
17,18057,1
21,833,4
14,3109,1
8,2019,2
2,5149,1
1,43160,1
13,987,1
5,2696,8
15,7493,2
9,1211,1
14,13874,1
1,11424,5
11,10908,2
11,9410,1
X,3506,1
3,6379,2
11,1165,41
3,10670,1
7,9669,1
1,5593,6
7,6068,1
15,5062,1
13,37037,9
7,8051,1
12,1392,45
12,2121,1
2,5817,2
14,4276,1
4,9591,2
16,3333,7
X,1404,3
5,15692,3
2,575,18
6,8952,1
22,4457,1
6,46217,1
6,501,5
X,1931,4
2,3362,4
9,861,10
14,3389,2
13,1159,5
5,15870,1
21,12250,1
10,2747,1
13,17012,1
3,2624,1
4,8740,1
19,6334,1
10,35827,1
10,10940,1
X,3895,2
16,5567,1
9,10519,1
5,2585,17
7,4669,11
17,17355,1
16,14102,1
17,11275,1
15,2395,4
17,4026,15
11,6196,2
11,2800,1
6,5718,1
12,7136,1
1,38186,7
2,2157,18
2,1540,22
10,908,1
14,11881,1
5,2588,1
21,2448,1
12,1915,11
17,1175,13
3,18817,1
19,5205,1
X,1809,2
20,529,3
6,10126,23
11,2660,11
12,1559,11
14,5453,1
18,3858,1
9,8551,1
17,6921,1
17,688,9
16,5996,3
10,1839,24
6,1189,5
17,32782,1
KI270712.1,42,14
9,3098,17
20,3533,7
1,2115,10
20,7251,1
5,7379,2
8,8605,3
7,5784,2
13,1010,6
19,925,11
9,6959,1
18,9493,3
10,193,5
15,482,6
8,1792,3
10,8420,1
5,127784,6
5,11449,3
16,3315,1
16,8272,1
22,590,5
9,4629,2
7,7222,1
6,136,63
15,6314,1
1,2974,3
10,7243,2
16,4567,4
2,10594,3
21,3191,2
7,1970,7
2,5717,7
12,3180,1
14,3664,1
6,66177,1
2,71997,1
4,3264,39
19,2707,1
12,1959,7
11,12840,36
3,10275,2
3,868,11
5,780,5
9,4906,3
8,1880,5
6,2153,5
13,13341,1
18,1935,4
6,5752,1
4,7594,7
19,421,29
4,11184,1
7,42669,1
19,275,18
13,2124,1
7,65838,5
17,3664,1
16,609,2
22,1393,1
2,5681,1
9,319,96
9,7747,1
3,13880,1
14,8120,2
14,2044,11
1,5155,3
12,30166,4
4,2037,22
21,5241,3
2,4935,4
9,2896,8
7,793,11
12,4037,1
1,8473,14
8,15178,4
19,1712,3
8,26405,6
19,6881,1
16,36245,3
1,14916,1
22,13897,1
5,3665,1
4,9087,1
12,2896,5
X,550,5
5,5227,1
2,46772,2
3,10645,2
10,6582,2
22,572,4
9,691,7
4,2144,29
16,4714,2
19,684,35
6,3114,3
6,3733,4
16,430,8
14,2414,2
19,2035,7
10,4158,1
11,4329,3
4,4870,1
10,6083,2
6,117,71
13,398,1
6,21061,1
8,2897,1
7,4458,22
18,102887,1
22,2022,3
6,2893,6
6,101668,1
10,2980,4
5,38382,3
3,1674,1
4,2093,1
X,5717,1
5,1128,23
1,1084,28
12,15405,1
4,5872,1
11,4406,4
2,8929,1
3,2106,1
7,34406,1
4,1039,12
10,2342,6
Y,3821,1
18,3012,1
5,31824,3
12,238,36
11,5702,3
13,22290,2
15,31789,1
7,13935,1
12,3403,7
9,3326,2
12,1752,2
17,2737,2
11,4103,1
15,5135,1
14,27486,1
7,5770,5
15,5043,2
10,1643,37
1,2864,4
8,873,4
5,12705,6
21,34387,1
7,516,5
11,3653,1
5,6547,2
17,6077,1
6,1838,17
1,11902,1
5,54393,1
21,1321,1
22,4407,4
15,4816,1
9,1655,8
4,4080,3
3,6882,2
8,12851,5
22,1578,4
2,30197,2
20,140,157
21,1129,3
20,689,7
12,1802,2
17,282,45
16,3343,1
14,44726,1
5,8719,6
22,1812,1
11,983,8
2,2185,7
21,7036,1
20,7712,12
7,3324,22
13,152,10
17,1194,2
10,4185,7
12,1096,2
19,239,36
2,8419,6
20,3970,1
15,634,37
7,65833,1
2,4046,4
4,2717,1
X,87338,1
20,11288,6
5,11134,1
7,11290,1
3,11017,1
4,550,14
Y,31,1
18,9399,2
10,4940,1
1,3225,17
9,7441,1
12,382,23
4,26456,1
6,330,10
13,1844,2
20,2916,1
20,6704,4
11,1676,5
11,1876,49
14,999,1
13,2723,1
8,11754,1
8,1162,15
22,2577,4
9,2558,3
11,20158,1
2,1190,5
17,28701,1
9,7688,1
20,400,2
2,3342,9
16,7766,3
5,20095,3
13,13022,3
17,8430,1
20,5032,3
17,2200,3
4,614,8
16,426,4
13,2654,2
14,935,7
9,5074,2
18,12155,1
15,3810,2
21,197,7
22,1050,6
12,1309,10
15,10688,2
16,149,63
2,1361,9
4,3231,4
16,12728,1
20,4850,2
4,9003,1
7,905,10
15,2161,1
17,1665,12
12,702,5
18,15043,1
18,5162,3
13,3757,13
7,32300,2
1,23968,1
13,7618,2
1,39368,1
3,22663,24
7,1046,3
10,799,11
19,863,15
1,1658,95
X,3495,3
15,15411,4
12,543,22
6,852,36
22,6798,21
X,6771,4
5,1837,1
8,595,1
14,430,7
6,3344,5
12,6288,1
4,5427,4
1,12787,4
20,2208,2
15,2855,4
4,6876,1
4,422,3
1,3586,4
5,4419,1
15,1397,1
4,3030,14
5,55627,2
X,908,10
1,762,33
6,21693,1
2,4272,1
7,20389,1
11,181,70
14,5819,2
13,18428,1
20,52,24
9,123025,2
14,2228,2
20,14799,1
20,1002,12
9,5367,3
5,2459,25
9,1149,10
14,2542,1
17,3858,5
11,2786,1
19,2071,32
15,2167,1
9,322,18
20,12443,1
1,56290,1
2,25415,3
11,3902,6
7,2831,2
1,7588,3
11,125,214
13,683,1
17,2835,11
19,11436,1
18,14938,5
1,26490,2
1,13711,4
4,173,31
1,7197,26
8,27595,6
16,2412,2
8,4599,1
16,224,69
22,5758,1
1,8669,2
KI270720.1,44,2
16,40979,2
7,2637,1
2,6621,2
11,6482,2
18,9753,3
5,9924,2
11,1095,6
16,185,56
15,3645,2
6,2455,1
7,1853,4
11,10244,2
20,4333,5
22,1944,1
12,117,72
19,2004,2
5,2153,7
1,4088,8
7,4559,1
22,1608,2
10,8585,2
12,6468,16
19,5372,1
6,2405,4
7,3169,1
7,21260,2
3,4784,4
4,4272,3
18,17516,4
1,2406,26
4,2788,3
14,1973,2
X,3359,1
3,14289,2
15,2261,3
X,5848,3
2,1622,19
12,20811,1
12,9803,1
20,56917,1
2,5610,1
X,2008,1
16,2992,5
2,6714,1
3,1275,7
5,2292,9
2,7307,1
1,8489,2
16,84503,30
6,7304,6
17,5472,1
4,8540,2
8,39479,1
17,4685,1
8,4043,2
17,3217,2
6,7656,1
1,5553,1
3,10012,1
17,11233,14
10,1517,13
5,3777,3
15,1134,15
3,3056,1
3,10843,1
1,6717,1
10,2215,1
16,7982,2
8,2423,1
X,541,6
6,3696,14
19,42352,1
20,1631,3
12,161,62
6,3305,1
16,34243,5
4,1779,7
8,6769,1
4,803,5
14,4601,2
6,5783,4
1,3968,4
2,5431,8
18,41292,1
3,11907,1
15,1635,5
3,5543,1
11,3906,2
10,2459,21
5,3987,1
12,466,10
2,884,26
6,8597,8
8,1023,1
15,6529,2
1,2594,25
3,6643,5
7,1512,3
2,1493,7
2,13148,1
1,18886,1
8,9025,2
15,6663,1
21,15737,1
20,3560,4
17,192,54
5,457,43
20,13406,1
3,1716,6
17,482,28
9,595,10
1,51687,2
19,2280,11
12,1065,12
7,5894,1
14,1541,3
10,3698,1
3,7036,2
6,1448,27
13,3583,3
2,81073,5
2,3121,1
10,3566,1
9,550,1
4,10007,1
20,1047,19
X,3151,24
19,4377,2
7,983,4
16,5833,13
11,5370,78
12,5437,3
3,2153,12
19,12014,5
6,5498,2
KI270733.1,34,32810
22,816,1
11,7442,7
6,2914,5
9,8208,1
19,2810,1
8,2686,8
18,4628,1
12,3646,2
8,252,21
6,17518,1
20,1795,1
5,2781,2
1,1123,9
6,8335,1
2,6382,3
3,1340,16
14,2353,4
16,31760,1
7,2933,10
4,12491,18
19,4105,2
4,1187,1
10,57062,6
22,1542,1
5,1633,3
20,4579,1
8,5084,4
1,18467,1
6,3496,1
3,3201,5
17,4192,3
6,3612,1
4,10324,4
12,13408,1
13,730,12
18,2475,5
1,4034,1
16,479,15
20,2702,4
X,3332,2
3,14307,1
19,5536,4
13,2606,4
X,10327,1
19,6582,2
8,1029,2
20,1321,7
19,4007,2
1,16159,4
8,10950,3
21,6360,3
8,2319,1
18,19165,2
2,2018,24
7,4572,15
14,1943,3
13,533,1
5,4520,2
16,327,30
10,4534,1
1,3254,5
6,60013,1
12,2956,6
15,53593,2
1,21212,3
4,62072,4
2,29852,2
11,641,75
17,1743,9
1,3850,18
8,4626,1
13,2616,1
X,13334,4
1,2092,42
12,8691,7
1,1345,22
11,5062,7
19,957,11
15,1416,2
6,888,13
4,4341,3
6,2593,4
3,76510,1
11,1225,14
14,4751,2
17,6196,1
4,5502,23
15,638,14
8,1350,1
3,2657,16
5,2091,3
3,2344,2
11,1124,15
10,2375,4
2,4427,3
7,2511,7
17,18413,1
18,724,4
12,1052,31
21,3362,18
X,656,17
14,554,1
11,683,41
20,787,33
14,3494,1
19,1843,3
6,9461,2
2,17682,1
12,5448,4
1,4421,2
1,4778,2
15,11474,1
10,8179,10
16,934,8
2,15060,9
2,1027,14
13,41995,6
20,402,13
5,1012,4
9,1107,2
6,22722,1
3,11744,4
1,5066,1
X,987,62
1,5369,2
GL000216.2,42,9
4,20496,3
7,2106,24
19,3118,4
7,2693,2
19,2003,7
14,541,1
20,3063,4
4,1678,3
14,6795,1
13,2389,3
22,3423,4
18,3783,2
X,1721,29
5,1645,18
20,6079,1
3,11227,1
16,5825,23
18,1238,3
6,1347,2
X,3874,2
2,708,29
21,32027,7
1,9236,1
17,22678,2
13,6334,1
16,15366,1
9,1111,5
5,437,7
10,73767,2
13,3068,1
8,2891,1
20,2363,1
7,13186,3
7,1627,13
14,2960,6
12,572,75
9,8673,3
8,817,19
9,2394,4
10,3940,2
12,9818,2
10,7594,2
18,826,1
11,4350,5
7,3798,3
3,24409,1
12,202,42
3,20019,4
11,115579,1
1,18443,4
7,9307,1
11,5804,2
5,5311,2
8,2135,3
1,2627,4
16,620,10
5,3134,3
14,2908,8
6,5904,1
10,1483,12
3,1623,2
9,2004,4
2,887,5
11,21978,2
1,29540,4
5,9311,1
8,4459,1
22,2819,3
17,8658,5
1,6067,2
22,10228,1
4,1552,1
7,5597,4
X,7770,1
5,1614,3
22,6542,1
15,108,2
11,4265,2
12,2295,9
9,2426,4
1,6077,2
5,1200,10
13,1698,1
12,2830,10
10,1550,3
2,421,11
14,2850,12
17,8726,1
6,4931,1
1,17135,5
19,2458,1
8,1025,12
20,5515,1
2,174,46
21,1611,2
21,1780,1
22,1038,10
22,5595,3
10,2921,13
19,981,4
17,24367,1
16,418,12
4,1993,12
12,12218,1
9,1620,8
19,1233,21
5,2496,2
12,317,64
2,5738,4
9,20112,2
15,640,11
2,1531,5
16,2326,1
19,13110,1
6,22726,3
12,8762,3
2,811,157
X,151,31
5,68098,5
7,7469,2
21,1842,1
2,428,78
11,3790,1
12,8619,1
1,2617,12
20,2585,1
12,40158,5
5,7063,4
5,2949,3
X,376,18
1,1667,8
3,5388,1
10,4193,2
1,4536,1
X,1642,5
3,1021,1
21,3364,1
5,172,21
10,1585,7
X,7788,3
6,118968,1
13,15367,4
12,5099,2
11,605,17
11,609,51
9,1418,5
X,406,27
14,1790,8
1,6947,9
2,7595,1
17,8670,5
15,7844,1
16,3998,1
8,5094,1
2,9170,4
13,11184,1
15,3642,1
3,454,17
19,52730,2
1,1715,3
4,4529,2
17,1541,18
9,70050,2
13,236,1
X,161,31
8,619,24
5,9920,2
12,2862,6
19,637,13
15,1188,3
X,682,18
3,3849,4
13,13081,1
16,503,18
20,6768,6
16,206,299
5,2477,5
7,10200,28
14,1996,6
18,1047,2
13,2431,1
19,2601,5
4,28942,2
6,1424,9
7,204,15
1,3057,2
17,12498,1
19,7431,1
4,2103,30
7,4568,2
22,4032,1
2,31728,1
17,1924,2
5,9184,4
1,1374,19
X,35781,2
3,1831,28
6,4295,3
7,3806,6
2,2541,7
4,7203,2
22,1894,9
4,31243,2
16,14189,1
6,2666,1
14,718,5
19,2311,3
12,6200,1
6,2233,2
15,1227,18
15,3101,28
X,3274,1
19,2199,1
7,4659,1
3,21814,7
12,4922,1
7,2879,11
13,1152,4
18,958,2
1,220,49
5,3858,5
14,3101,14
4,1568,3
X,3983,1
19,1722,5
22,1053,1
6,2867,1
13,1040,9
16,1591,13
6,1406,1
9,11396,4
8,668,3
10,4632,3
1,38934,1
12,1774,4
16,3178,1
5,18822,76
20,1626,8
6,739,5
2,11591,2
4,4030,1
8,3065,3
16,6029,1
10,2950,3
5,1438,10
4,1098,13
15,39336,1
1,13306,7
7,6035,1
10,126,26
4,4431,1
16,14777,1
6,3602,2
18,2223,10
7,15895,1
5,4899,3
2,5100,3
X,13351,3
4,4739,3
9,1429,2
17,555,7
X,5147,2
16,2318,4
14,2852,3
11,3084,7
13,34489,1
5,1911,7
13,1913,3
19,9416,2
19,3313,14
19,3056,4
18,630,1
8,108334,2
19,5432,6
2,19732,1
3,4471,9
11,4811,1
17,2373,41
8,4237,4
16,20078,1
14,1921,7
14,990,8
1,34916,1
1,540,38
20,4667,10
16,991,13
1,22480,3
5,9254,1
5,4735,1
5,2526,2
8,11470,1
3,5988,2
22,7730,5
22,1885,5
22,4610,1
4,2911,6
14,2129,5
3,4855,2
11,416,53
6,9434,3
7,2233,4
22,694,2
1,15572,2
17,2660,2
3,46310,3
14,4825,3
11,1271,8
5,2136,23
20,773,15
20,3755,2
8,1465,9
1,5881,13
5,2624,4
18,1928,6
4,5495,1
7,5620,5
19,1370,9
5,12556,1
12,3174,4
11,2805,3
15,298,20
15,2412,1
19,7619,1
9,21754,5
19,7836,1
1,60918,1
11,5883,1
19,14037,2
13,2988,1
12,8518,2
12,1850,23
10,1019,3
10,6720,3
4,1873,2
12,3353,1
13,229,1
9,4263,1
5,2803,6
8,4196,1
4,4416,6
8,2155,1
14,12347,1
7,14616,3
16,91939,4
13,734,6
15,977,5
21,309,1
7,4861,5
4,23287,3
20,6340,1
10,982,7
6,4828,8
3,9314,1
8,11057,1
15,4684,18
13,4101,3
7,3613,2
15,5588,1
20,2305,43
19,44730,1
16,5174,1
15,961,6
1,2114,27
15,477,4
5,1717,2
19,520,2
X,1719,1
1,3074,3
1,9998,1
8,9637,3
7,14919,8
2,353,30
14,4013,1
16,84504,48
14,400,3
11,5051,2
22,657,11
2,3662,10
7,6495,44
7,746,14
22,910,1
12,4072,22
13,9839,5
6,47318,1
16,84502,7
2,3708,1
5,963,22
9,5554,4
12,5663,5
14,85991,2
1,4364,3
14,2167,2
7,14452,2
14,1299,27
6,5009,6
1,3705,27
22,5018,1
11,12634,1
20,5402,1
12,3530,2
1,17628,1
7,341,16
18,441,1
20,6224,1
6,4950,1
7,11012,51
3,37672,1
2,2378,47
11,96003,2
18,691,2
21,6421,1
5,48694,3
10,4521,1
17,18130,1
13,34491,8
22,153,5
4,1249,6
1,1915,9
X,1901,8
X,2617,1
17,413,33
18,2602,4
9,2302,3
12,9471,2
12,2916,4
22,2119,2
4,496,21
5,2727,4
4,89921,1
19,15145,1
13,324,6
18,608,2
14,2617,3
22,1955,4
15,6250,4
2,13769,2
12,1343,21
21,1537,37
X,23943,3
3,36270,18
17,3040,8
7,5336,8
17,7937,2
10,676,18
16,1778,2
11,2280,7
8,2877,2
20,12038,2
6,415,2
1,6489,2
2,2208,7
2,21841,1
4,4000,4
15,9274,1
21,4672,1
9,36516,1
11,445,17
7,172,13
6,2597,3
14,3465,2
8,3184,1
4,588,7
1,2071,2
12,1416,4
17,1655,14
9,2121,5
19,1437,1
3,14288,2
X,653,14
X,2452,2
22,1780,15
11,1436,9
16,61231,1
8,8890,1
3,1578,22
8,382,6
7,7745,1
2,8673,1
20,5229,2
5,13498,6
14,11955,4
3,15314,1
19,1446,9
2,29129,2
9,16078,5
X,247,11
1,39520,49
14,18465,4
10,6038,1
X,2413,3
12,1624,1
12,3018,1
14,3034,4
2,12885,2
7,229,18
19,2453,2
4,4709,12
9,2331,2
14,3889,2
13,34593,1
1,6985,3
6,113337,1
22,37,2041
18,1791,4
19,259,24
16,22540,2
X,198916,1
X,990,51
17,280,51
8,347,1
8,9256,8
19,478,16
1,129,200
X,6239,1
X,3725,2
4,16597,13
15,9303,4
Y,41,1289
17,1053,6
11,419,18
7,1867,1
20,1188,2
6,1490,2
8,1211,1
7,36445,1
19,3094,2
18,107497,1
3,10033,1
17,1610,2
X,10289,1
10,12370,3
3,1654,2
X,4744,5
1,4554,1
3,1805,3
22,1231,6
7,35949,1
17,15472,1
7,3816,1
3,2209,7
2,2689,4
5,2273,10
11,2422,1
11,925,11
21,1149,1
13,2636,1
2,3716,1
3,6293,4
7,14916,3
12,86602,1
3,1996,2
19,2384,4
9,4428,5
14,3058,1
10,1784,4
19,333,42
22,541,12
17,418,35
X,10016,1
2,5753,1
12,1019,2
X,8484,5
8,634,7
10,120,19
16,1309,1
15,5353,4
16,3404,8
16,2712,11
20,10144,1
22,4622,6
14,3426,3
2,4875,1
1,1603,8
8,3319,1
7,7076,1
2,14613,4
11,214,64
1,5352,3
3,10477,1
X,269,89
15,6683,1
17,191,84
2,7078,1
15,5551,2
X,1353,49
10,1568,9
5,1620,44
15,15428,2
4,221,8
11,1544,7
6,8841,6
15,4235,1
16,1228,3
4,7436,1
17,6272,4
5,14609,1
20,8934,1
20,3513,4
12,19757,1
11,88660,1
13,1393,4
3,2662,4
4,3829,5
3,4351,2
5,7385,1
4,4026,2
3,8981,12
3,5030,3
X,1083,5
11,1622,9
X,3288,8
12,4585,7
17,2685,1
7,7574,1
13,2824,2
9,10545,1
8,3318,2
13,2239,6
21,4253,1
4,86877,1
1,18219,3
3,24137,5
19,572,29
15,17102,10
3,2383,1
1,61,1
14,4690,1
1,16597,1
14,10254,3
15,12875,9
15,3191,2
19,3661,2
2,11045,1
12,3460,3
15,4808,4
14,305,40
17,11232,3
20,553,1
1,23350,1
17,3458,8
5,11359,1
15,9347,1
2,2580,3
10,2785,1
13,359,1
Y,292,1
11,1438,21
5,2186,6
2,3468,2
4,3785,1
14,121,78
X,13444,1
2,13495,2
8,13045,6
1,7410,1
3,4665,3
2,3636,1
2,2753,1
11,393,9
8,26404,2
5,10384,2
18,3020,2
5,4493,3
15,4604,2
6,11053,1
16,665,8
X,15428,1
18,1390,1
8,1082,6
9,19185,1
2,1078,32
1,6926,7
11,11934,1
2,215,43
2,12897,6
2,30794,3
9,3310,8
10,1096,1
10,28783,1
21,236,13
X,3354,1
16,611,7
3,2523,6
10,6352,32
10,357,6
2,2438,4
16,890,9
8,1650,2
X,18873,1
13,9561,1
19,6581,1
2,3330,1
12,2670,18
8,4874,4
12,7507,4
8,2115,6
1,30873,1
6,624,27
10,1588,1
14,2804,16
8,15213,2
10,1611,1
12,223,46
5,17226,1
1,1115,24
11,136,244
12,138,195
17,4241,34
9,15644,3
22,5053,2
18,94229,1
10,201,26
21,4757,1
10,2194,2
16,47373,1
X,3402,2
10,1118,14
18,2295,2
22,2173,9
2,16787,3
4,4328,1
6,2060,54
5,95,4
10,2779,12
14,1862,4
1,33284,3
22,5090,17
7,2068,2
2,192,73
1,8917,1
17,3469,14
KI270721.1,614,13
11,9385,1
22,6248,9
17,769,9
5,1246,42
2,2283,2
5,37327,1
18,21272,1
10,5533,2
7,20773,4
10,6806,16
5,2312,5
10,18728,1
6,1894,9
21,58456,1
6,4999,3
5,5327,2
17,1183,7
4,6248,1
6,4807,2
18,5017,1
4,657,9
8,1201,1
6,2917,1
17,1196,4
2,2381,9
20,2649,17
6,44,77337
22,2635,29
13,3069,4
14,3060,7
8,928,7
13,1572,2
2,7431,2
19,9853,3
1,4320,5
10,4527,4
2,5482,3
2,2216,16
X,13670,4
17,2678,7
2,17274,1
4,32645,1
3,1565,7
1,2274,8
7,3185,13
17,3394,6
2,2981,5
6,6559,1
9,6554,1
20,3414,1
5,4021,1
4,4930,5
13,2114,4
10,3847,2
8,611,4
1,5716,8
22,3090,1
2,1912,19
20,6601,1
2,44,82362
2,12725,1
14,43459,1
3,2066,7
2,1369,1
3,576,10
12,12912,1
22,284,1
4,4054,1
10,3496,1
5,19007,2
17,1648,10
4,19903,1
6,4204,1
22,1740,7
11,5144,8
10,3080,5
4,4947,8
22,1887,2
6,9325,2
4,3194,2
3,1833,13
17,4217,3
8,13938,2
19,311,23
12,1473,2
13,256,4
6,1132,3
16,1762,19
14,16313,4
6,56127,1
5,2465,4
6,3058,1
5,1490,1
2,1184,6
13,2086,3
7,2541,4
21,1345,3
3,4198,2
2,11417,1
5,9086,1
2,7893,18
15,3007,4
17,21704,2
3,201,23
10,41296,1
11,7431,1
17,7079,2
5,12186,1
10,32515,2
9,5446,6
10,3534,2
2,35188,1
2,4253,4
17,1534,11
2,7382,1
12,178,85
20,3762,4
5,13693,2
8,6752,1
10,34296,1
20,4962,1
5,2234,3
10,27553,1
19,4209,2
10,5335,3
5,3321,1
22,15311,1
10,47580,1
22,3015,6
22,3783,31
7,10843,1
7,969,49
10,4272,1
9,2023,2
22,9713,1
9,200,20
4,4035,1
X,1791,18
18,6397,6
18,6597,1
5,5054,1
16,4277,3
1,14796,1
16,3712,9
11,1185,12
17,2936,3
21,1152,2
9,1715,7
10,1354,1
1,23697,1
9,3979,1
19,6879,4
13,3102,6
2,4353,4
4,1260,4
2,58125,1
2,16973,1
14,215,9
21,1160,1
11,264,75
20,3291,6
8,4930,3
4,1927,9
16,1962,4
11,1456,19
11,1749,1
12,3451,32
6,5988,1
15,58220,2
12,4054,2
9,37792,5
16,4279,1
1,34919,1
8,737,2
12,594,10
22,4572,1
21,973,22
13,2267,2
4,9194,6
17,2906,3
1,212,45
8,48850,1
13,357,10
4,10603,1
5,4450,2
4,6390,1
17,261,33
2,9042,1
11,9020,3
X,1942,3
21,10435,2
21,1804,20
21,4164,8
14,10804,1
19,2884,1
9,682,21
2,1707,3
15,2778,1
8,1119,6
9,512,4
8,2114,3
15,2107,2
6,2748,2
9,2008,10
15,1434,2
18,9515,2
4,11191,1
11,33391,6
17,1879,25
11,3402,3
20,2988,14
2,3616,3
6,2079,1
14,192,17
X,742,3
10,11564,9
15,3055,1
X,4655,1
13,109,4
14,220,3
18,3375,2
21,6056,3
16,1797,1
17,7007,3
12,49748,1
3,1951,6
11,6360,1
4,2419,1
22,3135,15
8,6521,1
18,42145,1
1,12088,1
8,9984,6
10,2910,3
20,8183,2
4,19152,3
12,17964,1
15,6191,3
7,1337,5
19,5431,4
7,4567,1
10,1380,3
11,10729,1
10,8373,1
12,13973,1
1,4750,1
5,2960,1
8,16227,14
3,120,50
4,3232,2
19,681,16
14,4811,2
8,2537,25
2,1374,6
11,2795,9
6,2554,4
22,2745,1
16,2477,2
11,2838,1
X,1020,2
11,11942,2
16,3008,2
5,3349,10
3,7781,5
10,5449,1
4,14898,42
4,1022,12
2,2424,5
18,1135,2
4,1558,35
11,731,16
13,1478,16
9,18862,1
5,25820,2
1,197,46
4,4804,2
5,7737,1
1,21495,17
12,249,71
1,47600,9
14,3745,11
10,2801,1
10,17613,4
3,2378,1
3,19475,9
20,12897,1
5,3265,1
11,2253,1
8,12283,1
18,1166,1
2,37364,1
2,282,33
8,1412,16
17,23631,1
1,90024,1
1,2559,2
9,1503,1
1,4196,5
11,20996,1
19,1954,22
1,70452,1
14,5051,60
3,2995,4
12,5731,1
10,4244,4
8,156,28
10,7584,1
14,1144,8
16,32788,1
5,15786,2
20,1584,9
12,2660,7
11,4929,2
13,25189,2
4,5216,2
3,15718,1
7,5766,2
14,12498,2
7,4376,1
5,15281,1
14,4217,1
1,79888,1
8,6722,2
2,1244,1
2,34506,11
1,3013,15
3,279,20
15,5931,4
5,378,19
X,1366,3
2,9870,1
12,52530,9
11,7450,4
4,1971,4
12,1680,4
5,34451,1
4,6653,1
13,6003,2
20,745,6
7,422,39
14,11867,4
9,4564,12
10,13770,1
20,4505,5
10,31,94
1,3405,9
2,7897,3
12,7553,1
1,14763,2
16,41198,2
17,11851,2
7,2309,2
20,4730,5
11,555,8
17,64073,3
1,6238,1
1,3570,1
6,1927,5
9,2222,3
14,30556,9
9,3115,7
20,182,13
17,4562,1
1,639,29
2,1327,26
12,4661,5
1,369,93
6,2864,22
9,15240,1
4,68793,2
5,3093,1
3,1983,3
17,1251,21
20,603,2
17,10689,1
19,2757,3
22,2491,4
22,1306,5
2,4365,5
10,3178,17
7,5066,7
18,2798,2
11,15689,1
12,12035,3
11,1068,9
10,19942,9
6,7055,1
10,4201,1
8,3984,1
19,4236,4
2,62586,1
X,171,80
4,8317,3
4,3361,3
1,3927,3
15,862,8
11,707,8
16,7186,7
X,2228,36
1,340,47
4,4268,2
19,9253,3
6,439,56
15,11554,1
1,10808,5
4,3288,10
6,3264,3
3,11365,2
4,33704,2
6,10890,2
4,3974,2
4,2132,18
17,6784,6
12,5752,1
20,3165,1
8,1072,23
9,1311,3
19,331,39
12,2832,22
5,10412,10
X,55,18
4,1283,10
1,21622,3
17,5889,24
7,9532,2
Y,453,1
8,236,8
4,16689,1
17,3713,6
2,87293,1
8,87793,2
13,1131,1
13,3943,12
8,5032,2
15,469,7
11,7052,5
5,17080,1
3,9062,2
18,8840,3
9,686,3
9,4929,1
3,1695,3
7,152,58
19,1870,16
16,5393,3
9,2475,1
3,6192,1
19,185,142
21,5873,1
13,4002,4
15,1382,4
20,890,2
3,17099,4
3,2933,5
10,7897,9
2,8414,2
13,1295,5
7,1902,12
10,28638,1
15,4792,18
10,6084,5
20,56910,1
10,19936,1
8,23521,1
5,2322,22
15,1462,1
14,154,15
7,6853,2
5,51,126
11,618,33
3,81137,6
19,10135,3
19,675,4
14,3480,2
9,2110,2
9,1431,1
15,5177,2
1,26337,2
12,90497,2
6,21252,1
X,2320,3
11,3420,4
6,5296,1
12,1018,5
16,1204,1
8,2966,1
7,362,33
17,2857,4
7,64015,1
12,1591,8
6,15204,3
12,2629,7
17,1863,9
10,2200,3
16,9263,1
18,2387,24
12,1705,15
4,14918,1
2,4926,1
11,8531,2
7,10670,1
16,63300,17
4,1169,16
17,4717,4
22,201,6
17,1000,13
3,2063,2
12,22767,1
3,1233,2
6,5898,1
14,57,2
X,825,29
22,24521,1
13,988,1
11,58762,2
16,1624,6
7,35741,1
16,296,24
5,3520,3
17,7177,1
X,1227,1
8,5563,1
4,1669,4
7,18387,1
5,1789,2
11,1862,3
6,4655,1
22,32,5
5,2999,2
9,7649,1
19,5696,2
14,6049,1
7,32631,1
7,10622,1
X,4721,8
8,4190,4
17,3904,7
16,1357,3
2,12804,3
6,307,20
11,6203,1
20,32440,1
8,755,5
5,31398,1
16,1510,28
14,4491,13
12,39177,1
22,3842,2
X,8765,1
9,2072,8
6,9228,2
17,1507,14
1,1070,36
5,6789,2
13,746,10
14,4173,2
7,97815,10
2,7986,3
16,951,200
17,4879,1
21,2028,5
22,4623,2
7,19800,1
2,5644,1
6,2464,1
14,4598,1
22,9712,1
15,2304,1
16,6792,1
5,2914,1
4,1073,1
20,1131,22
17,53,16
12,283,23
10,42225,1
1,799,30
9,37084,1
10,2007,3
7,633,2
8,2110,4
4,14278,1
17,1070,11
18,6398,3
17,2858,22
8,9179,3
19,1038,2
3,2023,6
6,7409,3
4,20557,1
10,5698,1
1,3121,2
19,2326,1
20,1693,2
14,26834,30
22,2142,2
1,2254,7
8,669,4
18,19464,3
21,6965,1
19,3330,1
9,9146,3
14,1002,2
19,1984,1
12,2063,1
X,7339,1
14,1292,8
14,1212,1
22,3272,3
7,93757,5
3,14689,3
3,95629,2
18,825,2
11,1979,6
2,2056,4
22,1820,2
11,200,93
10,5995,1
6,3199,8
1,602,41
